2026-02-28 17:37:32.136 | INFO     | src.core.capture_worker:__init__:48 - Loaded 5 calibrated ROIs from config
2026-02-28 17:37:32.137 | INFO     | src.core.capture_worker:__init__:55 -   ROI product_name: {'x': 960, 'y': 368, 'w': 745, 'h': 54}
2026-02-28 17:37:32.138 | INFO     | src.core.capture_worker:__init__:55 -   ROI local_price: {'x': 1968, 'y': 617, 'w': 123, 'h': 262}
2026-02-28 17:37:32.139 | INFO     | src.core.capture_worker:__init__:55 -   ROI average_cost: {'x': 702, 'y': 860, 'w': 112, 'h': 40}
2026-02-28 17:37:32.139 | INFO     | src.core.capture_worker:__init__:55 -   ROI quantity_owned: {'x': 691, 'y': 809, 'w': 123, 'h': 38}
2026-02-28 17:37:32.140 | INFO     | src.core.capture_worker:__init__:55 -   ROI friend_price: {'x': 1534, 'y': 590, 'w': 190, 'h': 54}
2026-02-28 17:37:33.891 | INFO     | src.core.screen_capture:get_game_window_rect:87 - Found window: Endfield (PID: 14944, Process: Endfield.exe, Rect: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440})
2026-02-28 17:37:33.892 | DEBUG    | src.core.screen_capture:capture_full_screen:124 - Capturing region: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440}
2026-02-28 17:37:34.196 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR product_name: extracted text = 'Ankhorilling Kitchenware [pkg]'
2026-02-28 17:37:34.268 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR local_price: extracted number = 2367
2026-02-28 17:37:34.303 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR average_cost: extracted number = None
2026-02-28 17:37:34.333 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR quantity_owned: extracted text = ''
2026-02-28 17:37:34.358 | DEBUG    | src.core.ocr_engine:extract_prices:90 - OCR friend_price: extracted number = None
2026-02-28 17:37:34.359 | INFO     | src.core.ocr_engine:extract_prices:97 - OCR Results: {'product_name': 'Ankhorilling Kitchenware [pkg]', 'local_price': 2367, 'average_cost': None, 'quantity_owned': '', 'friend_price': None}
2026-02-28 17:37:34.463 | INFO     | src.core.screen_capture:get_game_window_rect:87 - Found window: Endfield (PID: 14944, Process: Endfield.exe, Rect: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440})
2026-02-28 17:37:34.464 | DEBUG    | src.core.screen_capture:capture_full_screen:124 - Capturing region: {'top': 0, 'left': 0, 'width': 2560, 'height': 1440}
2026-02-28 17:37:34.523 | DEBUG    | src.core.ocr_engine:extract_prices:93 - OCR product_name: extracted text = ''
